operator_code,fleet_prefix,model_name,across_record_id,listed_bus_count,source_url
KMB,AA,KMB Dennis Dart/ Dart SLF (AA),31,71,https://1005.idv.hk/index.php?page=11&p=31
KMB,AA,KMB Training Fleet,33,170,https://1005.idv.hk/index.php?page=11&p=33
KMB,AAS,"KMB Alexander Dennis Enviro 200 Dart (AAS,AAU)",316,41,https://1005.idv.hk/index.php?page=11&p=316
KMB,AAU,"KMB Alexander Dennis Enviro 200 Dart (AAS,AAU)",316,41,https://1005.idv.hk/index.php?page=11&p=316
KMB,AD,KMB Dennis Dragon 11m (A/C) (AD),25,360,https://1005.idv.hk/index.php?page=11&p=25
KMB,AD,KMB Training Fleet,33,170,https://1005.idv.hk/index.php?page=11&p=33
KMB,ADS,KMB Dennis Dragon 9.9m (ADS),29,235,https://1005.idv.hk/index.php?page=11&p=29
KMB,AED,KMB ADL E500EV (AED),432,10,https://1005.idv.hk/index.php?page=11&p=432
KMB,AF,"KMB Dennis Falcon (AF,FD)",32,39,https://1005.idv.hk/index.php?page=11&p=32
KMB,AH,KMB Hino RK176K (AH),34,25,https://1005.idv.hk/index.php?page=11&p=34
KMB,AL,KMB Leyland Olympian 11m (A/C) (AL),26,150,https://1005.idv.hk/index.php?page=11&p=26
KMB,AL,KMB Training Fleet,33,170,https://1005.idv.hk/index.php?page=11&p=33
KMB,AM,KMB Mitsubishi Mk117/217/218 (AM),30,184,https://1005.idv.hk/index.php?page=11&p=30
KMB,AM,KMB Training Fleet,33,170,https://1005.idv.hk/index.php?page=11&p=33
KMB,AMC,KMB VDL DB300 (AMC),345,1,https://1005.idv.hk/index.php?page=11&p=345
KMB,AMN,KMB MAN 24.310 (AMN),4,47,https://1005.idv.hk/index.php?page=11&p=4
KMB,AMNE,"KMB MAN A95 (AMNE,AMNF)",361,22,https://1005.idv.hk/index.php?page=11&p=361
KMB,AMNF,"KMB MAN A95 (AMNE,AMNF)",361,22,https://1005.idv.hk/index.php?page=11&p=361
